dataset,configuration,configuration_label,sentences,answers,questions,citation_mentions,cited_sentences,human_supported_sentences,automatic_supported_sentences,unsupported_cited_sentences,citation_presence_rate,human_support_rate,automatic_support_rate,unsupported_share_of_cited_sentences,automatic_human_disagreement_rate,automatic_precision_vs_human,automatic_recall_vs_human,macro_answer_human_support_rate,empty_answers
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure-sample4.json.rerank,GPT-3.5 / reranked samples,220,98,98,283,203,168,180,35,0.9227272727272727,0.7636363636363637,0.8181818181818182,0.1724137931034483,0.11818181818181818,0.8944444444444445,0.9583333333333334,0.8096695821185618,2
asqa,asqa-gpt-35-turbo-gtr-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,236,99,99,290,205,168,171,37,0.8686440677966102,0.711864406779661,0.7245762711864406,0.18048780487804877,0.13135593220338984,0.9005847953216374,0.9166666666666666,0.7544612794612794,1
asqa,asqa-gpt-35-turbo-gtr_interact_search_summary-shot2-ndoc10-42-azure.json,GPT-3.5 / interactive retrieval,200,99,99,265,166,123,118,43,0.83,0.615,0.59,0.25903614457831325,0.185,0.864406779661017,0.8292682926829268,0.6715488215488216,1
asqa,asqa-vicuna-13b-rigorous-shot2-ndoc3-42.json,Vicuna 13B / 3 documents,155,100,100,182,111,74,71,37,0.7161290322580646,0.4774193548387097,0.45806451612903226,0.3333333333333333,0.14838709677419354,0.8591549295774648,0.8243243243243243,0.516,0
eli5,eli5-gpt-35-turbo-bm25-shot2-ndoc5-42-azure-sample4.json.rerank,GPT-3.5 / reranked samples,449,91,91,529,417,294,312,123,0.9287305122494433,0.6547884187082406,0.6948775055679287,0.2949640287769784,0.17371937639198218,0.8461538461538461,0.8979591836734694,0.6564625850340136,9
eli5,eli5-gpt-35-turbo-bm25-shot2-ndoc5-42-azure.json,GPT-3.5 / 5 documents,464,95,95,520,409,261,271,148,0.8814655172413793,0.5625,0.584051724137931,0.36185819070904646,0.16810344827586207,0.8376383763837638,0.8697318007662835,0.5349540517961571,5
eli5,eli5-gpt-35-turbo-bm25_interact_doc_id_extraction-shot2-ndoc10-42-azure.json,GPT-3.5 / interactive retrieval,539,97,97,600,420,284,272,136,0.7792207792207793,0.5269016697588126,0.5046382189239332,0.3238095238095238,0.15584415584415584,0.8676470588235294,0.8309859154929577,0.5252497359456123,3
eli5,eli5-vicuna-13b-rigorous-shot2-ndoc3-42.json,Vicuna 13B / 3 documents,341,99,99,227,189,60,63,129,0.5542521994134897,0.17595307917888564,0.18475073313782991,0.6825396825396826,0.09090909090909091,0.7301587301587301,0.7666666666666667,0.13547378547378547,1
